team;fifa_rank;total_fifa_points;home_team_score;team_result;goalkeeper_score;mean_defense_score;mean_offense_score;mean_midfield_score
Japan;36;0;1;-1;;;;
Saudi Arabia;27;0;0;-1;;;;
Togo;86;0;0;0;;;;
Mauritius;146;0;0;-1;;;;
Denmark;14;0;1;1;;;;
Nigeria;12;0;0;0;;;;
Denmark;14;0;2;1;;;;
Mexico;15;0;1;1;;;;
Côte d'Ivoire;25;0;0;0;;;;
Netherlands;6;0;0;-1;;;;
Spain;2;0;2;0;;;;
Tanzania;74;0;2;1;;;;
Uganda;93;0;0;0;;;;
Botswana;145;0;1;-1;;;;
Ethiopia;115;0;2;1;;;;
Ghana;26;0;3;1;;;;
Côte d'Ivoire;25;0;2;0;;;;
Lesotho;135;0;0;-1;;;;
Liberia;127;0;1;0;;;;
Mozambique;94;0;4;1;;;;
Niger;70;0;1;0;;;;
Zimbabwe;51;0;4;1;;;;
Cyprus;67;0;2;-1;;;;
Canada;63;0;1;0;;;;
Tunisia;30;0;1;1;;;;
Korea Republic;35;0;1;1;;;;
Mexico;15;0;1;1;;;;
Estonia;119;0;0;-1;;;;
Cyprus;67;0;0;-1;;;;
Greece;28;0;1;1;;;;
Tunisia;30;0;0;0;;;;
Australia;58;0;0;-1;;;;
Argentina;10;0;4;1;;;;
Israel;42;0;4;1;;;;
Australia;58;0;2;1;;;;
Cyprus;67;0;3;1;;;;
Republic of Ireland;9;0;1;1;;;;
Trinidad and Tobago;91;0;2;1;;;;
Turkey;48;0;1;0;;;;
Trinidad and Tobago;91;0;2;0;;;;
China PR;40;0;0;0;;;;
Hong Kong;98;0;0;-1;;;;
Hong Kong;108;0;0;0;;;;
Japan;37;0;1;0;;;;
New Zealand;107;0;3;1;;;;
Brazil;1;0;5;1;;;;
Malta;86;0;0;-1;;;;
Netherlands;8;0;0;-1;;;;
Spain;2;0;0;0;;;;
Thailand;92;0;3;1;;;;
China PR;42;0;1;-1;;;;
Hong Kong;108;0;2;-1;;;;
Hong Kong;108;0;1;0;;;;
Japan;37;0;2;1;;;;
Morocco;35;0;2;1;;;;
Cyprus;70;0;3;0;;;;
Czech Republic;34;0;4;1;;;;
Greece;26;0;1;0;;;;
Hungary;63;0;3;1;;;;
Iraq;96;0;3;1;;;;
Slovakia;44;0;2;1;;;;
Turkey;49;0;2;1;;;;
India;116;0;0;-1;;;;
Barbados;117;0;0;-1;;;;
India;116;0;1;0;;;;
Jamaica;84;0;0;0;;;;
India;116;0;1;1;;;;
Iraq;96;0;3;1;;;;
Poland;32;0;4;1;;;;
Thailand;92;0;0;-1;;;;
Grenada;145;0;2;1;;;;
Colombia;16;0;2;1;;;;
Morocco;35;0;3;1;;;;
Tahiti;149;0;3;0;;;;
Croatia;64;0;4;1;;;;
Italy;3;0;4;1;;;;
Nepal;142;0;0;-1;;;;
Pakistan;159;0;1;1;;;;
USA;22;0;2;0;;;;
Barbados;117;0;3;1;;;;
Lebanon;132;0;1;0;;;;
Albania;106;0;3;1;;;;
Austria;52;0;5;1;;;;
Brazil;1;0;1;0;;;;
Bulgaria;14;0;3;1;;;;
Cyprus;70;0;1;0;;;;
Czech Republic;34;0;4;1;;;;
England;20;0;0;0;;;;
Georgia;98;0;0;-1;;;;
Hungary;63;0;2;0;;;;
Republic of Ireland;10;0;1;0;;;;
Israel;40;0;0;0;;;;
Lithuania;61;0;0;0;;;;
Luxembourg;127;0;0;-1;;;;
Mexico;9;0;1;-1;;;;
Nepal;142;0;2;1;;;;
Netherlands;8;0;4;1;;;;
