team;fifa_rank;total_fifa_points;home_team_score;team_result;goalkeeper_score;mean_defense_score;mean_offense_score;mean_midfield_score
Bulgaria;50;0;2;1;;;;
Azerbaijan;114;0;0;-1;;;;
Norway;21;0;0;-1;;;;
Croatia;17;0;0;0;;;;
Turkey;33;0;1;1;;;;
Russia;20;0;1;-1;;;;
Austria;49;0;0;-1;;;;
IR Iran;46;0;0;0;;;;
Costa Rica;31;0;2;1;;;;
Honduras;23;0;3;1;;;;
Armenia;96;0;0;0;;;;
Mexico;12;0;2;1;;;;
Venezuela;110;0;2;1;;;;
Uruguay;24;0;2;1;;;;
Brazil;2;0;1;-1;;;;
Bosnia and Herzegovina;78;0;0;-1;;;;
North Macedonia;82;0;1;0;;;;
Poland;26;0;1;-1;;;;
Scotland;39;0;0;-1;;;;
Denmark;18;0;2;1;;;;
Ecuador;47;0;0;0;;;;
USA;16;0;0;-1;;;;
Portugal;9;0;3;1;;;;
Malta;133;0;2;-1;;;;
Albania;86;0;0;-1;;;;
Russia;20;0;3;1;;;;
Greece;56;0;1;-1;;;;
Lithuania;95;0;0;-1;;;;
Jamaica;52;0;0;-1;;;;
Romania;14;0;2;1;;;;
Morocco;29;0;0;-1;;;;
Spain;8;0;2;1;;;;
Switzerland;60;0;3;1;;;;
Trinidad and Tobago;32;0;0;-1;;;;
Estonia;80;0;0;-1;;;;
Iceland;57;0;0;-1;;;;
Wales;105;0;2;-1;;;;
Bolivia;79;0;1;-1;;;;
Croatia;17;0;4;1;;;;
Moldova;103;0;2;-1;;;;
Sweden;19;0;2;1;;;;
Armenia;96;0;0;-1;;;;
Thailand;62;0;1;0;;;;
IR Iran;46;0;2;1;;;;
China PR;63;0;1;0;;;;
United Arab Emirates;64;0;2;1;;;;
Oman;91;0;0;-1;;;;
Nigeria;34;0;2;0;;;;
Bahrain;117;0;0;0;;;;
United Arab Emirates;64;0;1;0;;;;
Iraq;69;0;0;0;;;;
Uzbekistan;67;0;0;-1;;;;
Saudi Arabia;36;0;3;1;;;;
Zimbabwe;65;0;0;0;;;;
Nigeria;34;0;1;-1;;;;
Saudi Arabia;35;0;4;1;;;;
Qatar;83;0;3;1;;;;
Iraq;72;0;1;0;;;;
United Arab Emirates;66;0;1;1;;;;
China PR;60;0;1;1;;;;
Bahrain;112;0;0;-1;;;;
Uzbekistan;65;0;2;0;;;;
IR Iran;38;0;2;0;;;;
Oman;91;0;0;-1;;;;
Angola;55;0;1;1;;;;
Senegal;69;0;2;1;;;;
United Arab Emirates;66;0;2;1;;;;
Qatar;83;0;0;-1;;;;
Thailand;63;0;0;-1;;;;
Saudi Arabia;35;0;2;1;;;;
Norway;23;0;4;1;;;;
Ecuador;46;0;5;1;;;;
Belgium;26;0;0;-1;;;;
Bulgaria;48;0;0;-1;;;;
Iceland;53;0;0;-1;;;;
Greece;61;0;2;0;;;;
Algeria;73;0;1;-1;;;;
Finland;52;0;0;0;;;;
Cyprus;79;0;0;-1;;;;
Hungary;64;0;0;-1;;;;
Northern Ireland;97;0;1;1;;;;
Turkey;34;0;3;1;;;;
Andorra;144;0;0;-1;;;;
Ukraine;33;0;1;0;;;;
Estonia;81;0;0;-1;;;;
Georgia;59;0;1;0;;;;
Switzerland;56;0;0;-1;;;;
Latvia;94;0;1;-1;;;;
Faroe Islands;118;0;0;-1;;;;
Peru;44;0;0;-1;;;;
Belarus;82;0;0;-1;;;;
Liechtenstein;150;0;0;-1;;;;
Chile;37;0;0;-1;;;;
Oman;91;0;0;-1;;;;
Mexico;10;0;0;0;;;;
Trinidad and Tobago;36;0;1;1;;;;
Nigeria;40;0;2;0;;;;
Slovakia;42;0;5;1;;;;
Argentina;3;0;2;0;;;;
Azerbaijan;113;0;0;-1;;;;
Colombia;7;0;1;0;;;;
Jamaica;54;0;1;-1;;;;
Morocco;32;0;2;1;;;;
Iraq;72;0;1;-1;;;;
Qatar;83;0;0;-1;;;;
Uzbekistan;65;0;2;-1;;;;
Morocco;32;0;1;-1;;;;
Burkina Faso;74;0;0;-1;;;;
Bahrain;112;0;1;0;;;;
Qatar;79;0;1;1;;;;
Oman;92;0;2;0;;;;
China PR;55;0;0;-1;;;;
Haiti;82;0;2;1;;;;
IR Iran;35;0;1;-1;;;;
Thailand;64;0;1;-1;;;;
Uganda;116;0;0;-1;;;;
Congo DR;72;0;2;-1;;;;
United Arab Emirates;58;0;0;-1;;;;
Uganda;116;0;1;1;;;;
Austria;53;0;1;0;;;;
Kenya;106;0;1;-1;;;;
El Salvador;85;0;1;-1;;;;
IR Iran;35;0;3;1;;;;
Guinea-Bissau;185;0;7;1;;;;
Mauritania;174;0;2;-1;;;;
Mauritania;174;0;0;-1;;;;
Guinea-Bissau;185;0;0;-1;;;;
Brazil;2;0;1;-1;;;;
Gambia;156;0;1;0;;;;
Chile;37;0;1;-1;;;;
Uruguay;23;0;1;0;;;;
Mauritania;174;0;0;-1;;;;
Italy;4;0;1;0;;;;
Benin;158;0;0;0;;;;
Peru;45;0;0;-1;;;;
Senegal;65;0;1;1;;;;
Paraguay;13;0;1;-1;;;;
Gambia;156;0;1;1;;;;
Turkey;34;0;1;1;;;;
Czech Republic;10;0;0;-1;;;;
Netherlands;7;0;1;0;;;;
Sweden;18;0;1;0;;;;
Estonia;80;0;2;-1;;;;
IR Iran;35;0;0;-1;;;;
Croatia;16;0;0;-1;;;;
Romania;15;0;1;-1;;;;
Egypt;40;0;0;-1;;;;
Germany;14;0;1;0;;;;
France;1;0;1;0;;;;
Costa Rica;29;0;1;1;;;;
Guinea-Bissau;185;0;1;-1;;;;
Honduras;24;0;0;-1;;;;
USA;19;0;0;0;;;;
Croatia;16;0;1;0;;;;
Venezuela;89;0;0;-1;;;;
Ecuador;39;0;0;0;;;;
Belgium;33;0;1;1;;;;
Kazakhstan;107;0;0;0;;;;
Ukraine;44;0;1;-1;;;;
Cyprus;78;0;2;1;;;;
North Macedonia;86;0;0;-1;;;;
Russia;21;0;3;1;;;;
Canada;83;0;1;-1;;;;
Zambia;61;0;0;-1;;;;
Colombia;8;0;4;1;;;;
Bolivia;81;0;1;0;;;;
Cameroon;38;0;0;0;;;;
Angola;56;0;1;-1;;;;
Slovenia;27;0;1;0;;;;
Mexico;11;0;0;-1;;;;
Austria;53;0;0;-1;;;;
Argentina;3;0;1;0;;;;
Republic of Ireland;20;0;0;-1;;;;
Uruguay;23;0;0;-1;;;;
Zambia;63;0;2;1;;;;
Australia;50;0;0;-1;;;;
Togo;69;0;0;-1;;;;
Kuwait;74;0;1;0;;;;
Ghana;58;0;1;0;;;;
Côte d'Ivoire;46;0;3;1;;;;
Somalia;197;0;0;-1;;;;
Tanzania;149;0;2;1;;;;
USA;21;0;0;-1;;;;
Djibouti;193;0;1;-1;;;;
Eritrea;171;0;1;-1;;;;
Djibouti;193;0;1;-1;;;;
Tanzania;149;0;1;1;;;;
Somalia;197;0;0;-1;;;;
Eritrea;171;0;0;-1;;;;
Oman;92;0;2;0;;;;
Djibouti;193;0;1;-1;;;;
Somalia;197;0;0;0;;;;
Burundi;136;0;2;1;;;;
Namibia;98;0;2;-1;;;;
Haiti;82;0;0;0;;;;
Kenya;105;0;0;0;;;;
Lesotho;128;0;0;-1;;;;
Togo;69;0;2;1;;;;
Eritrea;171;0;0;-1;;;;
Burundi;136;0;2;-1;;;;
Uganda;116;0;2;-1;;;;
Ethiopia;155;0;1;1;;;;
Ethiopia;155;0;2;1;;;;
Burkina Faso;78;0;0;-1;;;;
Syria;90;0;0;-1;;;;
Ghana;59;0;1;0;;;;
Syria;90;0;0;-1;;;;
Burkina Faso;78;0;4;1;;;;
Burkina Faso;78;0;1;-1;;;;
Syria;90;0;0;0;;;;
Togo;71;0;1;0;;;;
North Macedonia;89;0;0;-1;;;;
Egypt;41;0;2;0;;;;
Zimbabwe;68;0;2;1;;;;
Algeria;75;0;0;-1;;;;
Liberia;73;0;2;-1;;;;
Syria;90;0;2;0;;;;
Finland;46;0;2;1;;;;
Ghana;59;0;0;-1;;;;
North Macedonia;89;0;0;0;;;;
Zimbabwe;68;0;0;-1;;;;
Guatemala;67;0;1;1;;;;
Mali;112;0;2;1;;;;
Finland;46;0;1;0;;;;
North Macedonia;89;0;1;0;;;;
Cameroon;38;0;3;1;;;;
Iceland;52;0;0;0;;;;
Zimbabwe;68;0;2;1;;;;
Guatemala;67;0;0;0;;;;
Albania;96;0;0;-1;;;;
North Macedonia;89;0;0;-1;;;;
Zambia;64;0;1;0;;;;
Iceland;52;0;0;-1;;;;
Burkina Faso;78;0;2;0;;;;
Trinidad and Tobago;32;0;3;1;;;;
Oman;91;0;0;-1;;;;
Cameroon;38;0;1;1;;;;
Guatemala;67;0;0;-1;;;;
Nigeria;40;0;1;0;;;;
Guinea;108;0;1;-1;;;;
Iraq;72;0;3;1;;;;
Benin;152;0;0;-1;;;;
Angola;55;0;0;-1;;;;
Morocco;36;0;2;1;;;;
Kuwait;76;0;1;0;;;;
Bahrain;110;0;0;-1;;;;
Oman;90;0;0;-1;;;;
Canada;93;0;2;1;;;;
Mexico;9;0;1;1;;;;
Oman;90;0;3;1;;;;
Liberia;73;0;1;0;;;;
Grenada;135;0;1;0;;;;
Korea Republic;42;0;1;-1;;;;
Dominica;160;0;0;-1;;;;
Congo DR;77;0;0;-1;;;;
Trinidad and Tobago;34;0;1;0;;;;
Haiti;82;0;2;1;;;;
Senegal;68;0;1;1;;;;
Bahrain;110;0;1;-1;;;;
Burkina Faso;78;0;0;0;;;;
Qatar;80;0;2;1;;;;
Nigeria;40;0;1;1;;;;
Guatemala;59;0;1;-1;;;;
Ghana;61;0;0;0;;;;
Côte d'Ivoire;44;0;0;0;;;;
Cuba;75;0;0;-1;;;;
Tunisia;28;0;0;0;;;;
Ecuador;38;0;2;1;;;;
Bahrain;110;0;0;0;;;;
El Salvador;86;0;1;1;;;;
Cuba;75;0;0;0;;;;
Nigeria;40;0;0;0;;;;
Ghana;61;0;0;0;;;;
Qatar;80;0;2;1;;;;
United Arab Emirates;60;0;0;-1;;;;
Côte d'Ivoire;44;0;0;-1;;;;
Tunisia;28;0;0;-1;;;;
Algeria;74;0;2;0;;;;
Morocco;36;0;2;1;;;;
Togo;69;0;0;0;;;;
Haiti;82;0;1;-1;;;;
Zambia;63;0;0;-1;;;;
Qatar;80;0;1;1;;;;
Korea Republic;42;0;0;1;;;;
El Salvador;86;0;0;-1;;;;
Bahrain;110;0;2;1;;;;
Oman;90;0;0;-1;;;;
Nigeria;40;0;1;1;;;;
Algeria;74;0;0;-1;;;;
Togo;69;0;0;-1;;;;
Côte d'Ivoire;44;0;1;-1;;;;
United Arab Emirates;60;0;1;-1;;;;
Ghana;61;0;2;1;;;;
Korea Republic;42;0;1;-1;;;;
Morocco;36;0;1;-1;;;;
Canada;93;0;0;-1;;;;
Oman;90;0;1;0;;;;
Qatar;80;0;1;-1;;;;
Bolivia;70;0;0;-1;;;;
Zambia;63;0;1;-1;;;;
Tunisia;28;0;0;0;;;;
Korea Republic;42;0;1;-1;;;;
Costa Rica;30;0;0;-1;;;;
South Africa;33;0;0;-1;;;;
Ghana;61;0;0;-1;;;;
Egypt;41;0;0;-1;;;;
Congo DR;77;0;0;-1;;;;
Slovakia;47;0;3;1;;;;
Brazil;3;0;1;1;;;;
Cameroon;37;0;3;1;;;;
Senegal;68;0;2;1;;;;
Korea DPR;139;0;1;-1;;;;
Moldova;103;0;0;-1;;;;
Nigeria;40;0;3;1;;;;
Jordan;98;0;1;-1;;;;
Poland;31;0;2;1;;;;
Qatar;80;0;1;0;;;;
Cameroon;37;0;0;1;;;;
Singapore;115;0;0;-1;;;;
Lithuania;97;0;1;0;;;;
Jordan;98;0;0;-1;;;;
Switzerland;65;0;1;-1;;;;
Hungary;67;0;0;-1;;;;
Singapore;115;0;2;-1;;;;
Honduras;25;0;5;1;;;;
Qatar;80;0;0;-1;;;;
Ecuador;38;0;1;1;;;;
Norway;30;0;0;-1;;;;
Bulgaria;52;0;0;0;;;;
Czech Republic;15;0;4;1;;;;
Liechtenstein;152;0;0;-1;;;;
Romania;16;0;1;-1;;;;
Israel;50;0;1;-1;;;;
Sweden;17;0;2;0;;;;
Russia;23;0;0;-1;;;;
USA;13;0;0;-1;;;;
Jordan;100;0;3;1;;;;
Albania;97;0;0;0;;;;
Moldova;104;0;0;-1;;;;
England;10;0;1;0;;;;
Poland;36;0;4;1;;;;
Bolivia;71;0;2;0;;;;
Denmark;20;0;1;1;;;;
Portugal;4;0;1;0;;;;
Hungary;68;0;1;-1;;;;
Korea Republic;41;0;1;-1;;;;
Argentina;2;0;1;0;;;;
Singapore;115;0;0;-1;;;;
Korea DPR;139;0;1;1;;;;
Slovenia;28;0;0;1;;;;
Singapore;115;0;0;-1;;;;
Korea DPR;139;0;0;1;;;;
Venezuela;83;0;0;-1;;;;
Eswatini;133;0;2;-1;;;;
Honduras;27;0;0;-1;;;;
Iceland;54;0;1;-1;;;;
Tonga;173;0;0;-1;;;;
Lesotho;134;0;0;-1;;;;
Ecuador;37;0;0;-1;;;;
Tonga;173;0;7;1;;;;
Albania;97;0;0;-1;;;;
Korea Republic;41;0;0;0;;;;
Saudi Arabia;34;0;0;-1;;;;
Tonga;173;0;0;-1;;;;
American Samoa;201;0;0;-1;;;;
Namibia;102;0;1;-1;;;;
Madagascar;122;0;3;1;;;;
Papua New Guinea;197;0;4;1;;;;
Pakistan;182;0;1;0;;;;
Papua New Guinea;197;0;7;1;;;;
Pakistan;182;0;0;0;;;;
Korea Republic;41;0;2;1;;;;
South Africa;36;0;0;-1;;;;
Ukraine;42;0;0;-1;;;;
Pakistan;181;0;0;-1;;;;
Pakistan;181;0;1;-1;;;;
Turkey;25;0;0;0;;;;
Paraguay;15;0;1;0;;;;
Azerbaijan;114;0;0;-1;;;;
Cameroon;19;0;2;0;;;;
Slovakia;46;0;0;-1;;;;
Guyana;177;0;1;-1;;;;
North Macedonia;93;0;4;0;;;;
Ecuador;37;0;3;1;;;;
Slovenia;28;0;0;0;;;;
Italy;4;0;2;1;;;;
Russia;24;0;1;-1;;;;
Scotland;51;0;0;-1;;;;
South Africa;36;0;1;-1;;;;
USA;13;0;2;-1;;;;
Denmark;20;0;0;-1;;;;
Northern Ireland;92;0;0;0;;;;
Latvia;107;0;3;1;;;;
Andorra;142;0;1;0;;;;
Hungary;68;0;2;1;;;;
Spain;7;0;0;-1;;;;
Japan;38;0;2;1;;;;
Finland;47;0;4;1;;;;
Ukraine;42;0;1;-1;;;;
Uruguay;22;0;2;-1;;;;
Bolivia;70;0;1;-1;;;;
Switzerland;62;0;1;0;;;;
Norway;30;0;0;0;;;;
Czech Republic;14;0;0;0;;;;
South Africa;36;0;0;1;;;;
Mozambique;130;0;2;1;;;;
Mozambique;130;0;1;0;;;;
Maldives;149;0;0;-1;;;;
Maldives;149;0;1;0;;;;
Mozambique;130;0;2;1;;;;
Maldives;149;0;0;-1;;;;
Ethiopia;139;0;1;0;;;;
Albania;96;0;0;-1;;;;
Cameroon;18;0;0;0;;;;
Slovakia;49;0;1;0;;;;
Nicaragua;189;0;1;-1;;;;
Bosnia and Herzegovina;73;0;0;-1;;;;
Israel;50;0;1;-1;;;;
South Africa;37;0;0;0;;;;
Paraguay;15;0;0;-1;;;;
Russia;24;0;0;0;;;;
Argentina;3;0;1;1;;;;
Czech Republic;14;0;0;0;;;;
Belarus;88;0;5;1;;;;
USA;13;0;1;-1;;;;
Uruguay;21;0;1;0;;;;
Costa Rica;27;0;1;0;;;;
Kazakhstan;101;0;1;-1;;;;
Liechtenstein;152;0;3;0;;;;
Finland;42;0;0;-1;;;;
Azerbaijan;115;0;0;-1;;;;
Bulgaria;52;0;0;-1;;;;
Spain;8;0;5;1;;;;
Sweden;17;0;0;0;;;;
Romania;16;0;2;1;;;;
Brazil;2;0;1;0;;;;
Nigeria;29;0;2;1;;;;
Tunisia;30;0;0;-1;;;;
Chile;44;0;0;-1;;;;
Georgia;55;0;1;-1;;;;
Costa Rica;27;0;0;-1;;;;
Namibia;104;0;1;-1;;;;
China PR;51;0;0;0;;;;
Slovakia;49;0;0;-1;;;;
Honduras;26;0;3;0;;;;
Tanzania;151;0;0;-1;;;;
Kenya;106;0;0;-1;;;;
Eswatini;134;0;2;1;;;;
Colombia;4;0;0;0;;;;
Croatia;23;0;2;1;;;;
Colombia;4;0;2;1;;;;
Kuwait;80;0;0;-1;;;;
Tanzania;151;0;0;-1;;;;
Colombia;4;0;1;-1;;;;
Madagascar;120;0;0;-1;;;;
Uruguay;21;0;1;-1;;;;
Algeria;78;0;0;0;;;;
Japan;33;0;0;-1;;;;
Senegal;43;0;2;-1;;;;
Uzbekistan;64;0;1;-1;;;;
Germany;12;0;0;-1;;;;
Cyprus;82;0;1;-1;;;;
Canada;75;0;3;1;;;;
Uruguay;24;0;2;1;;;;
Nigeria;27;0;2;1;;;;
Scotland;55;0;1;-1;;;;
Bolivia;70;0;0;-1;;;;
Jamaica;57;0;0;-1;;;;
Malaysia;112;0;1;0;;;;
Cameroon;17;0;1;-1;;;;
Belarus;88;0;1;1;;;;
Ghana;52;0;0;-1;;;;
Paraguay;18;0;2;1;;;;
Italy;6;0;0;-1;;;;
Belgium;23;0;2;1;;;;
Austria;61;0;2;-1;;;;
Nigeria;27;0;1;1;;;;
Angola;58;0;1;-1;;;;
Estonia;86;0;0;-1;;;;
Kenya;106;0;5;1;;;;
Ukraine;44;0;0;-1;;;;
Malaysia;112;0;0;0;;;;
Netherlands;9;0;2;1;;;;
South Africa;37;0;2;1;;;;
England;12;0;1;0;;;;
Estonia;86;0;1;1;;;;
Uruguay;24;0;2;1;;;;
Latvia;99;0;1;-1;;;;
Iceland;56;0;1;0;;;;
Senegal;42;0;1;1;;;;
Turkey;22;0;0;-1;;;;
Portugal;5;0;2;1;;;;
Sweden;19;0;1;0;;;;
Brazil;2;0;4;1;;;;
Costa Rica;29;0;0;-1;;;;
England;12;0;2;0;;;;
Tunisia;31;0;1;-1;;;;
France;1;0;3;1;;;;
IR Iran;30;0;3;1;;;;
Senegal;42;0;1;1;;;;
Saudi Arabia;34;0;0;-1;;;;
Cameroon;17;0;1;0;;;;
Denmark;20;0;2;1;;;;
Nigeria;27;0;0;-1;;;;
Sweden;19;0;1;0;;;;
South Africa;37;0;2;0;;;;
Slovenia;25;0;1;-1;;;;
Turkey;22;0;1;-1;;;;
Mexico;7;0;1;1;;;;
Ecuador;36;0;0;-1;;;;
Costa Rica;29;0;2;1;;;;
Belgium;23;0;2;0;;;;
Poland;38;0;0;-1;;;;
Republic of Ireland;15;0;1;0;;;;
Tunisia;31;0;0;-1;;;;
Portugal;5;0;2;-1;;;;
Saudi Arabia;34;0;0;-1;;;;
Senegal;42;0;1;0;;;;
Uruguay;24;0;0;0;;;;
Armenia;101;0;2;1;;;;
England;12;0;1;1;;;;
Paraguay;18;0;1;-1;;;;
Nigeria;27;0;1;-1;;;;
China PR;50;0;0;-1;;;;
Croatia;21;0;2;1;;;;
Botswana;139;0;0;-1;;;;
Slovenia;25;0;0;-1;;;;
Turkey;22;0;1;0;;;;
Russia;28;0;0;-1;;;;
Botswana;139;0;0;-1;;;;
Ecuador;36;0;1;-1;;;;
USA;13;0;1;0;;;;
Poland;38;0;0;-1;;;;
Belgium;23;0;1;0;;;;
Germany;11;0;2;1;;;;
France;1;0;0;-1;;;;
Republic of Ireland;15;0;3;1;;;;
Uruguay;24;0;3;0;;;;
England;12;0;0;0;;;;
Paraguay;18;0;3;1;;;;
Spain;8;0;3;1;;;;
Argentina;3;0;1;0;;;;
Brazil;2;0;5;1;;;;
Croatia;21;0;0;-1;;;;
Italy;6;0;1;0;;;;
China PR;50;0;0;-1;;;;
Russia;28;0;2;-1;;;;
Tunisia;31;0;0;-1;;;;
Portugal;5;0;0;-1;;;;
USA;13;0;1;-1;;;;
England;12;0;3;1;;;;
Paraguay;18;0;0;-1;;;;
Republic of Ireland;15;0;1;-1;;;;
Senegal;42;0;2;1;;;;
Belgium;23;0;0;-1;;;;
USA;13;0;2;1;;;;
Turkey;22;0;1;1;;;;
Italy;6;0;1;-1;;;;
Brazil;2;0;2;1;;;;
USA;13;0;0;-1;;;;
British Virgin Islands;162;0;0;-1;;;;
Spain;8;0;0;-1;;;;
Turkey;22;0;1;1;;;;
Germany;11;0;1;1;;;;
Angola;58;0;1;0;;;;
Turkey;22;0;0;-1;;;;
Turkey;22;0;3;1;;;;
Montserrat;203;0;0;-1;;;;
Brazil;2;0;2;1;;;;
Azerbaijan;116;0;0;0;;;;
Tahiti;130;0;0;-1;;;;
Solomon Islands;139;0;0;0;;;;
Vanuatu;170;0;0;-1;;;;
Anguilla;196;0;1;-1;;;;
Azerbaijan;116;0;0;0;;;;
Mozambique;126;0;0;-1;;;;
Estonia;85;0;1;0;;;;
Zimbabwe;63;0;2;-1;;;;
Papua New Guinea;180;0;1;-1;;;;
Tahiti;130;0;3;1;;;;
Vanuatu;170;0;1;1;;;;
Zimbabwe;63;0;2;0;;;;
Solomon Islands;139;0;1;-1;;;;
Tahiti;130;0;3;1;;;;
Fiji;127;0;0;-1;;;;
Tahiti;130;0;1;-1;;;;
Vanuatu;170;0;0;-1;;;;
St. Lucia;135;0;3;1;;;;
Australia;50;0;0;-1;;;;
Vanuatu;170;0;0;-1;;;;
Singapore;113;0;2;1;;;;
Syria;94;0;0;-1;;;;
Madagascar;119;0;0;-1;;;;
Syria;94;0;1;-1;;;;
Trinidad and Tobago;42;0;0;0;;;;
Chinese Taipei;172;0;0;-1;;;;
Uganda;121;0;0;0;;;;
Chad;175;0;0;-1;;;;
Barbados;109;0;0;-1;;;;
Suriname;146;0;2;1;;;;
Ethiopia;133;0;2;-1;;;;
Trinidad and Tobago;42;0;1;-1;;;;
British Virgin Islands;162;0;1;-1;;;;
Uganda;121;0;1;-1;;;;
Uganda;121;0;2;1;;;;
Chinese Taipei;172;0;2;-1;;;;
Ethiopia;133;0;0;-1;;;;
Mauritius;128;0;1;1;;;;
Jamaica;59;0;1;1;;;;
Uganda;121;0;0;0;;;;
Mauritius;128;0;0;0;;;;
Ethiopia;133;0;1;-1;;;;
Zambia;66;0;0;-1;;;;
Jamaica;59;0;3;1;;;;
Aruba;186;0;0;-1;;;;
US Virgin Islands;198;0;1;-1;;;;
Kenya;97;0;1;0;;;;
US Virgin Islands;198;0;1;-1;;;;
Sudan;119;0;0;0;;;;
Congo DR;79;0;1;0;;;;
Uganda;114;0;0;-1;;;;
Uzbekistan;73;0;0;-1;;;;
Paraguay;19;0;1;1;;;;
Germany;5;0;2;0;;;;
Wales;89;0;1;0;;;;
Slovakia;45;0;1;-1;;;;
Moldova;105;0;0;-1;;;;
Liechtenstein;151;0;1;-1;;;;
Republic of Ireland;13;0;3;1;;;;
Spain;3;0;1;0;;;;
Andorra;140;0;0;-1;;;;
Slovenia;34;0;1;1;;;;
Belarus;84;0;4;1;;;;
Israel;55;0;4;1;;;;
Morocco;41;0;2;1;;;;
Malta;118;0;0;-1;;;;
Cyprus;83;0;0;0;;;;
Netherlands;14;0;1;1;;;;
Belgium;18;0;1;0;;;;
Greece;49;0;1;1;;;;
Sweden;20;0;1;0;;;;
Denmark;12;0;1;1;;;;
Austria;62;0;2;-1;;;;
France;4;0;1;0;;;;
Georgia;53;0;0;-1;;;;
IR Iran;33;0;1;1;;;;
Bolivia;72;0;0;-1;;;;
Sudan;119;0;0;-1;;;;
Kenya;97;0;0;0;;;;
Eswatini;124;0;1;-1;;;;
Gabon;107;0;0;-1;;;;
Sierra Leone;144;0;0;-1;;;;
Lesotho;138;0;1;1;;;;
Congo DR;79;0;3;1;;;;
Libya;120;0;1;1;;;;
Jamaica;57;0;3;1;;;;
IR Iran;33;0;0;-1;;;;
Palestine;149;0;1;-1;;;;
Lesotho;138;0;0;-1;;;;
Zambia;66;0;2;0;;;;
Gabon;107;0;0;0;;;;
Guinea;112;0;0;-1;;;;
Jamaica;57;0;0;0;;;;
Jordan;96;0;1;1;;;;
Iraq;60;0;2;1;;;;
Togo;74;0;0;-1;;;;
Lebanon;98;0;0;-1;;;;
Iraq;60;0;1;1;;;;
IR Iran;33;0;0;-1;;;;
Israel;55;0;5;1;;;;
Jordan;96;0;2;1;;;;
Cabo Verde;163;0;2;1;;;;
Ukraine;43;0;2;0;;;;
Moldova;105;0;0;-1;;;;
Italy;9;0;2;1;;;;
Bulgaria;58;0;2;1;;;;
Romania;27;0;3;1;;;;
Eswatini;124;0;0;0;;;;
Estonia;78;0;0;0;;;;
France;4;0;2;1;;;;
Portugal;8;0;1;0;;;;
Scotland;61;0;2;0;;;;
Wales;89;0;2;1;;;;
Morocco;41;0;1;1;;;;
Spain;3;0;2;1;;;;
Hungary;71;0;2;1;;;;
Iraq;60;0;3;1;;;;
Togo;74;0;0;-1;;;;
Korea DPR;126;0;0;0;;;;
Sweden;20;0;0;0;;;;
Germany;5;0;2;1;;;;
Algeria;82;0;1;1;;;;
Belarus;84;0;0;-1;;;;
Ethiopia;134;0;1;-1;;;;
Denmark;12;0;2;0;;;;
Republic of Ireland;13;0;2;-1;;;;
Poland;37;0;2;1;;;;
Malta;118;0;0;-1;;;;
IR Iran;33;0;2;1;;;;
Slovakia;45;0;0;-1;;;;
Ghana;56;0;0;-1;;;;
Nigeria;28;0;0;0;;;;
Tanzania;146;0;0;-1;;;;
Burkina Faso;80;0;0;0;;;;
Sierra Leone;144;0;3;1;;;;
Liberia;81;0;0;-1;;;;
South Africa;32;0;0;0;;;;
Senegal;29;0;1;1;;;;
Congo DR;79;0;2;-1;;;;
North Macedonia;91;0;1;0;;;;
Eritrea;171;0;0;-1;;;;
Zambia;66;0;1;1;;;;
Georgia;53;0;1;-1;;;;
Mali;87;0;0;-1;;;;
Mozambique;129;0;1;0;;;;
Morocco;41;0;1;-1;;;;
Gambia;150;0;0;-1;;;;
Paraguay;16;0;1;-1;;;;
South Africa;33;0;3;1;;;;
Uganda;108;0;1;0;;;;
United Arab Emirates;69;0;1;-1;;;;
Seychelles;189;0;0;-1;;;;
Malawi;96;0;0;-1;;;;
Zambia;65;0;0;0;;;;
Mauritania;181;0;1;-1;;;;
Niger;187;0;1;-1;;;;
Mauritania;181;0;0;-1;;;;
St. Lucia;128;0;2;-1;;;;
Lesotho;136;0;0;0;;;;
Lesotho;136;0;1;-1;;;;
Chad;175;0;1;-1;;;;
Germany;4;0;1;0;;;;
Switzerland;55;0;1;0;;;;
Belgium;19;0;1;1;;;;
Austria;56;0;2;1;;;;
Croatia;29;0;0;-1;;;;
Luxembourg;148;0;0;-1;;;;
Zimbabwe;60;0;1;1;;;;
Azerbaijan;109;0;0;-1;;;;
Slovenia;28;0;0;-1;;;;
Scotland;63;0;2;1;;;;
Faroe Islands;119;0;0;-1;;;;
Turkey;7;0;2;1;;;;
Angola;62;0;0;-1;;;;
Israel;52;0;2;1;;;;
Madagascar;112;0;1;1;;;;
Czech Republic;17;0;2;1;;;;
Latvia;97;0;1;1;;;;
Tunisia;39;0;1;0;;;;
Norway;38;0;1;1;;;;
Nigeria;30;0;2;0;;;;
Gabon;110;0;0;-1;;;;
England;9;0;2;1;;;;
Northern Ireland;98;0;0;-1;;;;
Hungary;64;0;1;0;;;;
Sudan;117;0;2;1;;;;
Greece;46;0;0;-1;;;;
Benin;145;0;1;0;;;;
Botswana;132;0;0;-1;;;;
New Zealand;48;0;2;-1;;;;
Guinea;111;0;0;-1;;;;
Rwanda;131;0;2;-1;;;;
Seychelles;189;0;0;-1;;;;
Equatorial Guinea;193;0;0;-1;;;;
Congo;102;0;3;1;;;;
Libya;105;0;1;-1;;;;
Canada;70;0;1;-1;;;;
Netherlands;12;0;3;1;;;;
Andorra;140;0;1;-1;;;;
Ecuador;31;0;1;0;;;;
Belarus;78;0;0;-1;;;;
